job_id,skill_id,skill_name
KAGGLE_00225,26,SQL
KAGGLE_00225,30,Tableau
KAGGLE_00227,4,Excel
KAGGLE_00227,29,Statistics
KAGGLE_00229,22,R
KAGGLE_00233,13,Machine Learning
KAGGLE_00234,13,Machine Learning
KAGGLE_00235,2,Deep Learning
KAGGLE_00235,13,Machine Learning
KAGGLE_00238,13,Machine Learning
KAGGLE_00239,13,Machine Learning
KAGGLE_00241,13,Machine Learning
KAGGLE_00242,13,Machine Learning
KAGGLE_00242,15,NumPy
KAGGLE_00242,16,Pandas
KAGGLE_00242,20,Python
KAGGLE_00242,26,SQL
KAGGLE_00243,13,Machine Learning
KAGGLE_00245,13,Machine Learning
KAGGLE_00247,13,Machine Learning
KAGGLE_00247,26,SQL
KAGGLE_00256,13,Machine Learning
KAGGLE_00256,29,Statistics
KAGGLE_00261,14,NLP
KAGGLE_00266,2,Deep Learning
KAGGLE_00266,13,Machine Learning
KAGGLE_00266,26,SQL
KAGGLE_00267,9,Hadoop
KAGGLE_00270,29,Statistics
KAGGLE_00272,20,Python
KAGGLE_00275,22,R
KAGGLE_00279,20,Python
KAGGLE_00284,13,Machine Learning
KAGGLE_00284,20,Python
KAGGLE_00291,13,Machine Learning
KAGGLE_00291,29,Statistics
KAGGLE_00293,13,Machine Learning
KAGGLE_00293,20,Python
KAGGLE_00294,15,NumPy
KAGGLE_00294,16,Pandas
KAGGLE_00294,22,R
KAGGLE_00297,4,Excel
KAGGLE_00297,13,Machine Learning
KAGGLE_00297,20,Python
KAGGLE_00300,13,Machine Learning
KAGGLE_00303,4,Excel
KAGGLE_00303,13,Machine Learning
KAGGLE_00303,20,Python
KAGGLE_00305,13,Machine Learning
KAGGLE_00310,15,NumPy
KAGGLE_00310,16,Pandas
KAGGLE_00310,20,Python
KAGGLE_00314,20,Python
KAGGLE_00316,15,NumPy
KAGGLE_00316,20,Python
KAGGLE_00317,13,Machine Learning
KAGGLE_00318,27,Snowflake
KAGGLE_00319,13,Machine Learning
KAGGLE_00319,20,Python
KAGGLE_00319,26,SQL
KAGGLE_00319,29,Statistics
KAGGLE_00320,13,Machine Learning
KAGGLE_00323,3,ETL
KAGGLE_00324,13,Machine Learning
KAGGLE_00324,14,NLP
KAGGLE_00324,26,SQL
KAGGLE_00325,13,Machine Learning
KAGGLE_00329,21,Qlik
KAGGLE_00329,30,Tableau
KAGGLE_00334,2,Deep Learning
KAGGLE_00334,13,Machine Learning
